City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sitka,57.0531,-135.33,9.64,81,100,1.77,US,1749265262
1,hawaiian paradise park,19.5933,-154.9731,25.57,78,4,0.45,US,1749265263
2,mersing,2.4312,103.8405,28.95,79,20,2.06,MY,1749265264
3,waitangi,-43.9535,-176.5597,11.39,85,95,18.48,NZ,1749265265
4,lata,40.1629,-8.3327,11.38,91,67,1.23,PT,1749265266
5,hithadhoo,-0.6,73.0833,29.16,68,81,4.55,MV,1749265267
6,hamilton,39.1834,-84.5333,20.52,95,100,3.09,US,1749265268
7,torit,4.4133,32.5678,19.29,93,37,1.17,SS,1749265269
8,kidal,18.4411,1.4078,29.21,34,16,1.56,ML,1749265270
9,blackmans bay,-43.0167,147.3167,11.07,65,20,5.75,AU,1749265271
10,atar,20.5169,-13.0499,27.21,24,0,3.58,MR,1749265273
11,port-aux-francais,-49.35,70.2167,3.03,62,100,9.19,TF,1749265274
12,cape canaveral,28.4058,-80.6048,28.38,84,20,6.69,US,1749265275
13,margaret river,-33.95,115.0667,16.24,58,100,0.79,AU,1749265054
14,mukalla,14.5425,49.1242,28.44,67,40,1.97,YE,1749265277
15,usogorsk,63.4106,48.6872,15.25,86,100,2.77,RU,1749265278
16,vendenheim,48.6695,7.7098,17.17,88,0,0.51,FR,1749265279
17,west island,-12.1568,96.8225,26.99,94,75,6.17,CC,1749265280
18,luderitz,-26.6481,15.1594,12.35,66,100,3.09,NA,1749265281
19,adamstown,-25.066,-130.1015,20.56,66,96,8.26,PN,1749265283
20,san patricio,28.017,-97.5169,28.91,81,12,7.25,US,1749265284
21,iqaluit,63.7506,-68.5145,-0.15,100,100,1.54,CA,1749265285
22,prince rupert,54.3161,-130.3201,12.05,72,0,7.72,CA,1749265286
23,college,64.8569,-147.8028,14.99,48,75,0.45,US,1749265287
24,ptolemaida,40.5147,21.6786,17.13,83,8,0.79,GR,1749265288
25,ushuaia,-54.8,-68.3,2.81,100,75,1.03,AR,1749265289
26,grytviken,-54.2811,-36.5092,0.38,99,100,2.82,GS,1749265290
27,saipan,15.1355,145.701,30.36,77,58,4.02,MP,1749265291
28,joshimath,30.5667,79.5667,21.33,21,0,1.22,IN,1749265292
29,happy valley-goose bay,53.3168,-60.3315,15.17,47,75,2.06,CA,1749265294
30,atafu village,-8.5421,-172.5159,27.92,79,100,5.45,TK,1749265295
31,klyuchi,52.2667,79.1667,25.1,50,49,3.59,RU,1749265296
32,edinburgh of the seven seas,-37.0676,-12.3116,14.36,84,100,13.0,SH,1749265297
33,longyearbyen,78.2186,15.6401,0.91,75,75,6.17,SJ,1749265298
